id,name,isMain,word_id
1,существительное,1,2
2,местоимение,1,5
3,прилагательное,1,9
4,наречие,0,9
5,союз,1,11
6,наречие,1,12
7,существительное,1,13
8,определённый артикль,1,14
9,существительное,1,15
10,глагол,0,15
11,прилагательное,1,18
12,существительное,0,18
13,глагол,0,19
14,существительное,1,19
15,существительное,1,22
16,глагол,0,22
17,прилагательное,0,22
18,местоимение,1,23
19,союз,1,24
20,прилагательное,0,25
21,глагол,0,25
22,наречие,1,25
23,существительное,1,26
24,глагол,1,27
25,предлог,1,28
26,глагол,1,29
27,существительное,0,29
28,прилагательное,1,30
29,существительное,1,33
30,существительное,1,35
31,прилагательное,0,35
32,глагол,0,35
33,местоимение,1,36
34,детерминатив,0,36
35,союз,0,36
36,наречие,0,36
37,существительное,1,38
38,существительное,1,40
39,местоимение,1,42
40,существительное,1,43
41,существительное,1,44
42,прилагательное,0,44
43,существительное,1,44
44,существительное,1,45
45,глагол,1,46
46,существительное,0,46
47,существительное,1,47
48,существительное,1,49
49,глагол,0,49
50,существительное,1,51
51,глагол,0,51
52,глагол,1,53
53,существительное,0,53
54,существительное,1,54
55,глагол,1,55
56,существительное,0,55
57,существительное,1,56
58,существительное,0,56
59,глагол,1,59
60,глагол,1,60
61,существительное,0,60
62,глагол,1,62
63,существительное,0,62
64,существительное,1,63
65,имя собственное,1,64
66,имя собственное,1,64
67,глагол,1,66
68,числительное,1,67
69,прилагательное,1,69
70,местоимение,1,70
71,наречие,1,71
72,существительное,1,73
73,прилагательное,0,73
74,предлог,1,74
75,существительное,1,75
76,имя собственное,0,75
77,существительное,1,76
78,глагол,0,76
79,местоимение,1,77
80,существительное,1,78
81,глагол,0,78
82,глагол,1,79
83,существительное,0,79
84,глагол,1,80
85,существительное,0,80
86,существительное,1,81
87,глагол,0,81
88,глагол,0,81
89,глагол,1,82
90,глагол,1,83
91,существительное,0,83
92,существительное,1,84
93,прилагательное,0,84
94,глагол,0,84
95,глагол,1,85
96,существительное,0,85
97,предлог,0,86
98,наречие,1,86
99,существительное,0,86
100,глагол,1,87
101,наречие,0,87
102,прилагательное,0,87
103,существительное,1,88
104,глагол,0,88
105,существительное,1,88
106,существительное,1,90
107,наречие,0,90
108,существительное,1,93
109,прилагательное,0,93
110,существительное,1,94
111,глагол,0,94
