id,name,transcription
2,muslc,[ˈmju:zɪk]
3,play,[pleɪ]
4,laptop,['læptɔp]
5,all,[ɔ:l]
6,right,[raɪt]
7,just,[dʒʌst]
8,few,[fju:]
9,more,[ˈmenɪ]
10,foot,[fut]
11,and,[ænd]
12,here,[hɪə]
13,gentlemen,[ˈdʒentlmən]
14,the,[ði:]
15,gate,[ɡeɪt]
16,elzebub,
17,sheldon,
18,good,[ɡud]
19,lord,[lɔ:d]
20,rajesh,
21,don,[dɔn]
22,panic,[ˈpænɪk]
23,this,[ðɪs]
24,what,[wɔt]
25,last,[lɑ:st]
26,hour,[ˈauə]
27,have,[hæv]
28,about,[əˈbaut]
29,stay,[steɪ]
30,frosty,[ˈfrɔstɪ]
31,there,[ðɛə]
32,horde,[hɔ:d]
33,goblin,[ˈɡɔblɪn]
34,other,[ˈʌðə]
35,side,[saɪd]
36,that,[ðæt]
37,guard,[ɡɑ:d]
38,sword,[sɔ:d]
39,azeroth,
40,warrior,[ˈwɔrɪə]
41,unsheathe,[ˈʌnˈʃi:ð]
42,your,[jɔ:]
43,weapon,[ˈwepən]
44,magic,[ˈmædʒɪk]
45,wielders,
46,raise,[reɪz]
47,wand,[wɔnd]
48,lock,[lɔk]
49,load,[ləud]
50,raj,[rɑ:dʒ]
51,blow,[bləu]
52,controlshiftb,
53,rumble,[ˈrʌmbl]
54,gobllns,[ˈɡɔblɪn]
55,screamlng,[skri:m]
56,god,[ɡɔd]
57,many,[ˈmenɪ]
58,howard,['hauəd]
59,aah,[ɑː]
60,stand,[stænd]
61,slash,[slæʃ]
62,move,[mu:v]
63,formation,[fɔ:ˈmeɪʃən]
64,leonard,['lenəd]
65,you,[ju:]
66,get,[ɡet]
67,one,[wʌn]
68,tail,[teɪl]
69,prehensile,[prɪˈhensaɪl]
70,him,[hi:]
71,tonight,[tə'naɪt]
72,spice,[spaɪs]
73,meat,[mi:t]
74,with,[wɪð]
75,blood,[blʌd]
76,trap,[træp]
77,they,[ðeɪ]
78,flank,[flæŋk]
79,use,[juːs]
80,sleep,[sli:p]
81,spell,[spel]
82,forget,[fəˈɡet]
83,help,[help]
84,master,[ˈmɑ:stə]
85,look,[luk]
86,out,[aut]
87,damn,[dæm]
88,man,[mən]
89,die,[daɪ]
90,goodbye,[ɡudˈbaɪ]
91,peasant,[ˈpezənt]
92,whooshlng,
93,bastard,[ˈbæstəd]
94,teleport,['telɪpɔːt]
95,sell,[sel]
96,ebay,['ɪˌbeɪ]
97,betray,[bɪˈtreɪ]
98,for,[fɔ:]
99,money,[ˈmʌnɪ]
100,who,[hu:]
101,rogue,[rəuɡ]
102,knight,[naɪt]
103,elf,[elf]
104,people,[ˈpi:pl]
105,read,[riːd]
106,character,[ˈkærɪktə]
107,description,[dɪsˈkrɪpʃən]
108,wait,[weɪt]
109,somebody,[ˈsʌmbədɪ]
110,click,[klɪk]
111,buy,[baɪ]
112,now,[nau]
113,whoo,
114,sweaty,[ˈswetɪ]
115,wan,[wɔn]
116,log,[lɔɡ]
117,second,['sek(ə)nd]
118,life,[laɪf]
119,swimming,[ˈswɪmɪŋ]
120,build,[bɪld]
121,virtual,[ˈvə:tjuəl]
122,pool,[pu:l]
123,can,[kæn]
124,avatar,[ˌævəˈtɑ:]
125,penny,[ˈpenɪ]
126,laugh,[lɑ:f]
127,sound,[saund]
128,like,[laɪk]
129,neighbor,['neɪbə]
130,home,[həum]
131,excuse,[ɪkˈskjuːs]
132,mail,[meɪl]
133,take,[teɪk]
134,talk,[tɔ:k]
135,her,[ʃi:]
136,steal,[sti:l]
137,snail,[sneɪl]
138,very,[ˈverɪ]
139,old,[əuld]
140,school,[sku:l]
141,mailman,[ˈmeɪlmæn]
142,again,[əˈɡen]
143,sorry,[ˈsɔrɪ]
144,doug,
145,bro,[brəu]
146,not,[nɔt]
147,much,[mʌtʃ]
148,heh,
149,everything,[ˈevrɪθɪŋ]
150,okay,[ˈəuˈkeɪ]
151,yeah,[jeə]
152,thank,[θæŋk]
153,probably,[ˈprɔbəblɪ]
154,such,[sʌtʃ]
155,idea,[aɪˈdɪə]
156,civil,[ˈsɪvl]
157,servant,[ˈsə:vənt]
158,document,[ˈdɔkjumənt]
159,propensity,[prəˈpensɪtɪ]
160,know,[nəu]
161,snap,[snæp]
162,well,[wel]
163,problem,[ˈprɔbləm]
164,bye,[baɪ]
165,thought,[θɔ:t]
166,matter,[ˈmætə]
167,fine,[faɪn]
168,guy,[ɡaɪ]
169,she,[ʃi:]
170,kiss,[kɪs]
171,really,[ˈrɪəlɪ]
172,kind,[kaɪnd]
173,cheek,[tʃi:k]
174,lips,[lɪp]
175,chase,[tʃeɪs]
176,french,[frenʧ]
177,wrong,[rɔŋ]
178,romantic,[reuˈmæntɪk]
179,tell,[tel]
180,hopeless,[ˈhəuplɪs]
181,infatuation,[ɪnˌfætjuˈeɪʃən]
182,devolve,[dɪˈvɔlv]
183,into,[ˈɪntu]
184,pointless,[ˈpɔntlɪs]
185,jealousy,['ʤeləsɪ]
186,jealous,[ˈdʒeləs]
187,little,[ˈlɪtl]
188,concerned,[kənˈsə:nd]
189,didn,
190,because,[bɪˈkɔz]
191,better,[ˈbetə]
192,than,[ðæn]
193,dreamy,[ˈdrɪ:mɪ]
194,least,[ˈlɪtl]
195,retrieve,[rɪˈtri:v]
196,black,[blæk]
197,box,[bɔks]
198,from,[frɔm]
199,smolder,[ˈsməuldə]
200,wreckage,[ˈrekɪdʒ]
201,once,[wʌns]
202,fantasy,[ˈfæntəsɪ]
203,date,[deɪt]
204,analyze,['æn(ə)laɪz]
205,data,[ˈdeɪtə]
